# A1 种子 3：场所交通 / 家居 / 衣物 / 学习用品 / 颜色自然 / 形容词 / 词块句型
la tienda|商店|n|购物|La tienda abre a las nueve.|商店九点开门。
el supermercado|超市|n|购物|Compro todo en el supermercado.|我所有东西都在超市买。
la escuela|学校|n|学习|Mi hijo va a la escuela caminando.|我儿子走路上学。
la universidad|大学|n|学习|Estudio en la universidad.|我在大学学习。
la clase|课；班级|n|学习|La clase de español es divertida.|西语课很有趣。
el profesor|老师（男）|n|学习|El profesor habla despacio.|老师说话很慢。
la profesora|老师（女）|n|学习|La profesora es de México.|老师来自墨西哥。
el estudiante|学生（男）|n|学习|El estudiante hace la tarea.|学生在做作业。
la estudiante|学生（女）|n|学习|La estudiante lee mucho.|这个女生读很多书。
la lección|课程；一节课|n|学习|La lección de hoy es fácil.|今天的课很简单。
la palabra|单词|n|学习|¿Qué significa esta palabra?|这个单词什么意思？
la letra|字母|n|学习|La primera letra del alfabeto es A.|字母表的第一个字母是 A。
el número|数字；号码|n|数字|¿Me da su número de teléfono?|能给我您的电话号码吗？
el cuaderno|笔记本|n|学习|Escribo en mi cuaderno.|我写在笔记本上。
el lápiz|铅笔|n|学习|¿Tienes un lápiz?|你有铅笔吗？
el bolígrafo|圆珠笔|n|学习|Firma con este bolígrafo.|用这支圆珠笔签名。
la mochila|背包|n|学习|Llevo los libros en la mochila.|我把书装在背包里。
el ordenador|电脑|n|科技|Trabajo con el ordenador.|我用电脑工作。
la computadora|电脑（拉美）|n|科技|Mi computadora es nueva.|我的电脑是新的。
la pantalla|屏幕|n|科技|La pantalla es muy grande.|屏幕很大。
el billete|票；钞票|n|交通|Compro el billete en la máquina.|我在机器上买车票。
el boleto|票（拉美）|n|交通|El boleto cuesta diez pesos.|车票十比索。
la estación|车站|n|交通|La estación de tren está lejos.|火车站很远。
el metro|地铁|n|交通|Tomo el metro todos los días.|我每天坐地铁。
el autobús|公交车|n|交通|El autobús llega en cinco minutos.|公交五分钟后到。
el tren|火车|n|交通|El tren sale a las ocho.|火车八点发车。
el avión|飞机|n|交通|El avión aterriza a las diez.|飞机十点降落。
el taxi|出租车|n|交通|Llamo un taxi con la app.|我用 App 叫出租车。
la parada|车站（停靠点）|n|交通|Espero en la parada del autobús.|我在公交站等车。
el mapa|地图|n|旅行|Mira el mapa de la ciudad.|看一下城市地图。
la playa|海滩|n|旅行|Vamos a la playa en verano.|我们夏天去海滩。
la montaña|山|n|自然|La montaña está cubierta de nieve.|山被雪覆盖。
el mar|海|n|自然|El mar está tranquilo hoy.|今天海面很平静。
el sol|太阳；阳光|n|自然|Hoy hace sol.|今天阳光明媚。
