# B1 种子 5：连接词 / 高频词块 / 句型
a medida que|随着|conj|连接|A medida que pasa el tiempo, todo mejora.|随着时间推移，一切都在好转。
con respecto a|关于|phr|连接|Con respecto a tu idea, tengo dudas.|关于你的想法，我有疑问。
por lo que respecta a|至于|phr|连接|Por lo que respecta al horario, está abierto.|至于时间，还很灵活。
a propósito de|关于|phr|连接|A propósito de cine, ¿vamos el sábado?|说到电影，我们周六去吗？
al fin y al cabo|归根结底|phr|连接|Al fin y al cabo, solo es una película.|归根结底，这只是一部电影。
a fin de cuentas|说到底|phr|连接|A fin de cuentas, ella tiene razón.|说到底，她是对的。
en definitiva|归根到底|phr|连接|En definitiva, vale la pena.|归根到底，值得。
en general|总体上|phr|连接|En general, la comida es buena.|总体上，饭菜不错。
en particular|特别是|phr|连接|Me gustan los postres, en particular el flan.|我喜欢甜点，特别是焦糖布丁。
paso a paso|一步一步|phr|方式|Explico todo paso a paso.|我一步步解释一切。
cara a cara|面对面|phr|方式|Lo hablaron cara a cara.|他们当面谈了这事。
a diario|每天|phr|时间|Practico español a diario.|我每天练西语。
de buena gana|乐意地|phr|方式|Ayudo de buena gana.|我很乐意帮忙。
a medias|一半；不彻底|phr|方式|Hice la tarea a medias.|我作业做了一半。
en cualquier caso|无论如何|phr|连接|En cualquier caso, avísame.|无论如何，告诉我一声。
en todo caso|实在不行|phr|连接|En todo caso, podemos cambiar la fecha.|实在不行，我们可以改日期。
sin lugar a dudas|毫无疑问|phr|语气|Es, sin lugar a dudas, el mejor.|毫无疑问，他是最好的。
menos mal|幸好|phr|语气|¡Menos mal que llegaste!|幸好你到了！
de pronto|突然|phr|时间|De pronto se quedó callado.|他突然沉默了。
poco después|不久后|phr|时间|Poco después llegó la policía.|不久后警察到了。
al cabo de|在…之后|phr|时间|Al cabo de dos horas volvió.|两小时后他回来了。
a finales de|在…末|phr|时间|A finales de mes cobro.|月底我发工资。
a principios de|在…初|phr|时间|A principios de año me mudo.|年初我搬家。
a mediados de|在…中|phr|时间|A mediados de julio hay vacaciones.|七月中旬放假。
desde entonces|从那时起|phr|时间|Desde entonces no lo he visto.|从那以后我再没见过他。
mientras tanto|与此同时|phr|时间|Mientras tanto, prepara la mesa.|与此同时，摆好桌子。
al mismo tiempo|同时|phr|时间|Ríe y llora al mismo tiempo.|他又哭又笑。
de golpe|一下子|phr|方式|Entendí todo de golpe.|我一下子全懂了。
tan pronto como|一…就|conj|连接|Tan pronto como llegue, te llamo.|我一到就给你打电话。
una vez que|一旦|conj|连接|Una vez que empieces, no pares.|一旦开始，就别停。
a no ser que|除非|conj|连接|Voy, a no ser que llueva.|除非下雨，否则我会去。
en caso de que|万一|conj|连接|En caso de que falte algo, avisa.|万一缺什么，告诉我。
por si acaso|以防万一|phr|语气|Llevo paraguas por si acaso.|我带上伞以防万一。
no solo... sino también|不仅…而且|sent|句型|No solo cocina, sino que también canta.|他不仅会做饭，还会唱歌。
más bien|不如说|phr|语气|No es caro, más bien barato.|不算贵，不如说便宜。
al contrario|相反地|phr|连接|Al contrario, me encanta.|恰恰相反，我很喜欢。
ahora bien|不过|phr|连接|Ahora bien, hay un problema.|不过，有一个问题。
es más|更有甚者|phr|连接|Es más, ni siquiera vino.|更有甚者，他根本没来。
aparte de|除了…之外|phr|连接|Aparte de inglés, habla francés.|除了英语，他还会法语。
frente a|面对；与…相比|phr|连接|Frente a otros años, ahora hay más oferta.|与往年相比，现在供应更多。
por consiguiente|因此|phr|连接|No estudió; por consiguiente, suspendió.|他没学习，因此挂科了。
por lo visto|看样子|phr|语气|Por lo visto, ya se conocían.|看样子，他们早就认识。
al parecer|似乎|phr|语气|Al parecer, el vuelo se cancela.|航班似乎要取消。
según se dice|据说|phr|语气|Según se dice, suben los sueldos.|据说要涨工资。
a fin de|为了|phr|连接|A fin de mejorar, practico cada día.|为了进步，我每天练习。
con el fin de|为了|phr|连接|Ahorro con el fin de viajar.|我为旅行而攒钱。
de modo que|于是|phr|连接|Era tarde, de modo que me fui.|天晚了，于是我走了。
a pesar de que|尽管|conj|连接|A pesar de que dudaba, aceptó.|尽管有疑虑，他还是接受了。
por más que|无论怎样|conj|连接|Por más que insisto, no contesta.|无论我怎么坚持，他都不回应。
aun cuando|即使|conj|连接|Aun cuando llueva, iremos.|即使下雨我们也会去。
así como|以及；如同|conj|连接|Venden fruta así como verdura.|他们卖水果也卖蔬菜。
puesto que|既然|conj|连接|Puesto que estás aquí, ayúdame.|既然你在这儿，就帮帮我。
antes de que|在…之前|conj|连接|Llámame antes de que salgas.|你出门前给我打电话。
después de que|在…之后|conj|连接|Vamos a comer después de que termine.|结束后我们去吃饭。
tomar parte en|参与|phrv|工作|Tomo parte en todas las reuniones.|我参加所有会议。
formar parte de|是…的一部分|phrv|抽象|Formo parte del equipo desde 2023.|我从2023年起就是团队一员。
tener lugar|举行|phrv|社会|El concierto tiene lugar el sábado.|音乐会周六举行。
llevar a cabo|执行；完成|phrv|工作|Llevamos a cabo el plan sin problemas.|我们顺利执行了计划。
poner en práctica|实施|phrv|抽象|Pon en práctica lo que aprendes.|把你学的付诸实践。
entrar en vigor|生效|phrv|法律|La ley entra en vigor en enero.|法律一月生效。
dar la vuelta|转身；扭转|phrv|动作|Dio la vuelta y se fue.|他转身走了。
dar la bienvenida|欢迎|phrv|社会|Le damos la bienvenida al grupo.|我们欢迎他加入群组。
echar una mano|帮把手|phrv|社会|¿Me echas una mano con las maletas?|能帮我搬下行李吗？
hacer caso omiso|无视|phrv|思维|Hace caso omiso de las críticas.|他对批评置之不理。
tomar en serio|认真对待|phrv|思维|Toma en serio sus estudios.|他认真对待学业。
no tener ni idea|毫无头绪|phrv|思维|No tengo ni idea de dónde está.|我完全不知道它在哪。
meter la pata|犯蠢；说漏嘴|phrv|社会|Metí la pata con su nombre.|我把他的名字叫错了。
poner las cartas sobre la mesa|摊牌|phrv|社会|Voy a poner las cartas sobre la mesa.|我要摊牌了。
