# B2-11 口语动词短语/日常表达
apetecer|想要；使有兴致|v|口语|Me apetece tomar un helado.|我想吃个冰淇淋。
dar igual|无所谓；没差别|phr|口语|Me da igual dónde comamos.|我们在哪吃我都行。
dar lo mismo|无所谓（同义）|phr|口语|A él le da lo mismo el fútbol.|足球他无所谓。
importar un pimiento|毫不重要（口语）|phr|口语|Me importa un pimiento lo que digan.|他们说什么我才不在乎。
estar hasta las narices|受够了|phr|口语|Estoy hasta las narices de los atascos.|堵车我受够了。
estar harto de|受够了|phr|口语|Está harto de escuchar excusas.|他听借口听腻了。
cansarse de|厌倦；失去耐心|v|口语|Se cansó de esperar y se fue.|他等得不耐烦就走了。
no poder más|忍无可忍|phr|口语|No puedo más, necesito vacaciones.|我撑不住了，需要休假。
estar hecho polvo|疲惫不堪|phr|口语|Después del maratón estaba hecho polvo.|跑完马拉松我累趴了。
estar muerto de cansancio|累死了|phr|口语|Estoy muerto de cansancio tras el vuelo.|飞完这趟我累死了。
dar una mano|搭把手|phr|口语|Le di una mano a mudarse el sábado.|周六搬家我帮了他。
apuntarse a|报名参加|v|口语|¿Te apuntas a la cena del viernes?|周五聚餐你来吗？
liarse|搞混；卷入|v|口语|Me lié con las fechas del examen.|我把考试日期搞混了。
armar lío|捣乱；闹麻烦|phr|口语|Los niños armaron un lío enorme en la cocina.|孩子们把厨房搞得一团糟。
hacer un lío|搞乱|phr|口语|No hagas un lío con mis papeles.|别把我的文件弄乱。
el jaleo|吵闹；混乱|n|口语|Con la familia reunida se arma un jaleo.|全家聚到一起就闹哄哄。
el follón|麻烦事（口语）|n|口语|Montaron un follón por nada.|他们无理取闹。
montar un pollo|大吵大闹|phr|口语|Montó un pollo en el supermercado.|他在超市大闹了一场。
armarla|闯祸；搞出事|v|口语|La armó buena olvidando las llaves.|他忘带钥匙闯了大祸。
flipar|惊呆（口语俚语）|v|口语|Flipé con el final de la serie.|剧集结局让我惊掉下巴。
alucinar|难以置信；惊呆|v|口语|Aluciné cuando vi su transformación.|看到他的蜕变我惊了。
quedar de muerte|棒极了（口语）|phr|口语|La tarta ha quedado de muerte.|蛋糕好吃到爆。
estar de muerte|绝妙（口语）|phr|口语|El concierto estuvo de muerte.|演唱会绝了。
ser la leche|太牛了/离谱（俚语）|phr|口语|Eres la leche, siempre se te olvida todo.|你也太离谱了，什么都忘。
molar|招人喜欢（俚语）|v|口语|Este barrio mola mucho.|这个街区超有味道。
estar como un pez en el agua|如鱼得水|phr|口语|En la cocina está como un pez en el agua.|他在厨房如鱼得水。
hacerse una idea|形成概念|phr|口语|Ya me hago una idea del problema.|我大概明白问题在哪了。
percatarse de|察觉（书面）|v|口语|Se percató del cambio de actitud.|他察觉到态度变了。
dar la casualidad|碰巧|phr|口语|Por casualidad nos sentamos en la misma fila.|碰巧我们坐同一排。
por casualidad|偶然地|phr|口语|Lo encontré por casualidad en un mercadillo.|我在跳蚤市场偶然淘到的。
de casualidad|碰巧（拉美）|phr|口语|¿De casualidad tú también vas a la fiesta?|你该不会也去派对吧？
irse de compras|去购物|phr|口语|Fui de compras con mi hermana.|我和姐姐去逛街了。
ir de tapas|去吃小吃|phr|口语|Los viernes solemos ir de tapas.|周五我们常去吃塔帕斯。
salir de juerga|出去狂欢|phr|口语|Salió de juerga y volvió al amanecer.|他出去玩到黎明才回。
la juerga|狂欢；派对|n|口语|Organizaron una juerga en la playa.|他们在海滩开了场派对。
la resaca|宿醉|n|口语|La resaca de año nuevo fue tremenda.|新年那天的宿醉太狠了。
tener resaca|宿醉难受|phr|口语|Tengo resaca y solo quiero dormir.|我宿醉了只想睡觉。
dormir la mona|睡醒酒|phr|口语|Se quedó dormiendo la mona en el sofá.|他在沙发上睡醒酒。
la siesta|午睡|n|口语|Después de comer me echo la siesta.|午饭后我睡个午觉。
echarse la siesta|午睡|phr|口语|Los domingos nos echamos la siesta juntos.|周日我们一起午睡。
la pijamada|睡衣派对|n|口语|Organizó una pijama party con sus amigas.|她和闺蜜办了睡衣派对。
cotillear|打探八卦|v|口语|Le encanta cotillear la vida de los famosos.|她超爱八卦明星生活。
el cotilleo|八卦|n|口语|El cotilleo es el alma de la sobremesa.|八卦是饭后聊天的灵魂。||复数 los cotilleos
correr un rumor|有传闻|phr|口语|Corre el rumor de que cierran la fábrica.|有传闻说工厂要关门。
enterarse de|得知；获悉|v|口语|¿Ya te has enterado de la noticia?|你听说那个消息了吗？
estar al tanto|知情；留意|phr|口语|Mantente al tanto de los cambios de horario.|留意时间表的变化。
estar al corriente|掌握最新情况|phr|口语|Está al corriente de todo lo que pasa.|发生什么她都了如指掌。
poner al día|使了解近况|phr|口语|Te pongo al día de lo que pasó.|我把发生的事给你补补课。
poner las cosas en claro|说清楚|phr|口语|Voy a poner las cosas en claro con él.|我要跟他把话说明白。
aclarar|澄清；搞清|v|口语|Aclara los malentendidos cuanto antes.|误会尽早说清。
el malentendido|误会|n|口语|Todo fue un malentendido tonto.|这一切只是个愚蠢的误会。||复数 los malentendidos
llevarse bien|相处融洽|phr|口语|Mis suegros y yo nos llevamos bien.|我和公婆处得不错。
llevarse mal|处不好|phr|口语|Se llevan mal desde aquella discusión.|自那次争吵后他们就处不好。
caer bien|让人喜欢|phr|口语|Tu amiga me cae muy bien.|你朋友我特喜欢。
caer mal|让人讨厌|phr|口语|Ese tío me cae mal a primera vista.|那家伙我第一眼就不喜欢。
simpatizar|投缘|v|口语|Simpatizaron desde el primer minuto.|他们一见如故。
tratar a alguien de tú/usted|以你/您相称|phr|口语|Podemos tratarnos de tú, no formalices.|我们可以互称 tú，别客气。
tutear|称你（tú）|v|口语|¿Te importa si te tuteo?|我称你 tú 你介意吗？
el tío / la tía|家伙（口语）|n|口语|Ese tío es un Crack con la guitarra.|那家伙弹吉他超神。||复数 los tíos
