# B1 5D 种子（2/2）
b1-401|relacionar una cosa con otra=>把两件事联系起来
b1-402|vincular a la familia=>与家庭绑定
b1-403|combinar con todo=>百搭;combinar colores=>搭配颜色
b1-404|mezclar con agua=>用水调和;mezclar los idiomas=>语言混着说
b1-405|separar de los demás=>与其他分开;separar la yema=>分离蛋黄
b1-406|dividir en grupos=>分成小组;dividir la cuenta=>分摊账单
b1-407|distribuir los folletos=>分发传单
b1-408|solucionar el conflicto=>解决冲突;solucionar el problema=>把问题解决
b1-409|rescatar a los mineros=>营救矿工
b1-410|defender sus derechos=>捍卫权利;defender a su equipo=>为球队辩护
b1-411|atacar al rival=>攻击对手;atacar el problema=>猛攻问题
b1-412|acusar de robo=>指控盗窃;acusar a alguien=>指控某人
b1-413|castigar sin salir=>罚不许出门;castigar el retraso=>处罚迟到
b1-414|perdonar una vez=>原谅一次;perdonar la deuda=>免除债务
b1-415|denunciar un delito=>举报罪行;denunciar ante la policía=>向警方报案
b1-416|declarar ante el juez=>在法官面前作证;declarar la renta=>申报个税
b1-417|afirmar con seguridad=>笃定地断言
b1-418|asegurar la calidad=>保证质量;te lo aseguro=>我向你保证
b1-419|demostrar interés=>表现出兴趣;demostrar con hechos=>用事实证明
b1-420|comprobar los datos=>核实数据;compruébalo tú mismo=>你自己查证
b1-421|¿eso qué supone?=>那意味着什么？;supongo que sí=>我想是的|m:假定；意味着
b1-422|imaginar el futuro=>想象未来;imagínate=>你想想看
b1-423|no exageres=>别夸张;exagerar el peligro=>夸大危险
b1-424|minimizar los riesgos=>把风险降到最低
b1-425|para resumir=>概括地说;resumir en una frase=>一句话总结
b1-426|interpretar las cifras=>解读数据;interpretar un sueño=>解梦
b1-427|detallar los gastos=>细列开支
b1-428|disminuir el ruido=>降低噪音;disminuir en tamaño=>尺寸缩小
b1-429|superar las expectativas=>超出预期;superar un récord=>打破纪录
b1-430|invertir en educación=>投资教育;invertir sabiamente=>明智投资
b1-431|heredar una fortuna=>继承一笔财产
b1-432|donar sangre=>献血;donar a una ONG=>给公益组织捐款
b1-433|facturar el equipaje=>托运行李;facturar con IVA=>开具含税发票
b1-434|contratar a un traductor=>聘请翻译;contratar personal=>招聘人员
b1-435|despedir a un empleado=>解雇员工;despedirse de los amigos=>和朋友道别|m:解雇；送别
b1-436|renunciar al cargo=>辞去职务;renunciar a sus derechos=>放弃权利
b1-437|ascender de puesto=>晋升职位
b1-438|jubilarse a los sesenta=>六十岁退休
b1-439|trasladarse a otra ciudad=>搬去别的城市
b1-440|mudarse de casa=>搬家;mudarse al centro=>搬到市中心
b1-441|instalarse en Madrid=>在马德里安家
b1-442|alojarse en un hotel=>入住酒店
b1-443|sostener que es verdad=>坚称这是真的;sostener el peso=>承受重量
b1-444|conllevar riesgos=>伴随风险
b1-445|adelantar por la izquierda=>从左侧超车
b1-446|frenar a tiempo=>及时刹车;frenar el gasto=>刹住开支
b1-447|el avión despega=>飞机起飞;despegar a tiempo=>准点起飞
b1-448|aterrizar sin problemas=>平稳降落
b1-449|embarcar en el crucero=>登上邮轮
b1-450|entregar el trabajo=>交付工作;entregar a domicilio=>送货上门
b1-451|adjuntar el archivo=>附上文件
b1-452|reenviar el correo=>转发邮件
b1-453|descargar gratis=>免费下载;descargar una app=>下载应用
b1-454|instalar un programa=>安装程序;instalar la lavadora=>安装洗衣机
b1-455|actualizar la aplicación=>更新应用;actualizar datos=>更新数据
b1-456|borrar la foto=>删照片;borrar de la lista=>从名单删除
b1-457|imprimir el billete=>打印票;imprimir en ambas caras=>双面打印
b1-458|rellenar un formulario=>填表格;rellenar de agua=>灌满水
b1-459|solicitar un visado=>申请签证;solicitar información=>索取信息
b1-460|presentarse a las oposiciones=>参加公开招聘考试
b1-461|colaborar con una ONG=>与公益组织合作
b1-462|cooperar en la investigación=>在调查中协作
b1-463|contribuir al desarrollo=>为发展出力;contribuir con dinero=>出资
b1-464|criticar el plan=>批评计划;criticar sin fundamento=>无端指责
b1-465|elogiar su esfuerzo=>称赞他的努力
b1-466|felicitar por el premio=>祝贺获奖;¡felicidades!=>恭喜！
b1-467|festejar el triunfo=>庆祝胜利
b1-468|disculparse por el retraso=>为迟到道歉
b1-469|lamentar la pérdida=>为损失惋惜;lamento decirte=>很遗憾要告诉你
b1-470|arrepentirse de sus palabras=>为自己的话后悔
b1-471|quejarse del ruido=>抱怨噪音;quejarse de todo=>事事抱怨
b1-472|tranquilizarse, no pasa nada=>放宽心，没事的
b1-473|sorprenderse de la noticia=>对消息感到惊讶
b1-474|ilusionarse con el proyecto=>对项目满怀期待
b1-475|decepcionarse con el resultado=>对结果失望
b1-476|odiar madrugar=>讨厌早起;odiar las mentiras=>恨透谎言
b1-477|despreciar el dinero=>视金钱如粪土
b1-478|admirar su valentía=>钦佩他的勇气
b1-479|confiar en él=>信任他;confiar en sí mismo=>自信
b1-480|desconfiar de las promesas=>不相信承诺
b1-481|evaluar el rendimiento=>评估绩效
b1-482|valorar el esfuerzo=>重视付出;valorar en mucho=>高度评价
b1-483|analizar a fondo=>深入分析;analizar los pros y contras=>分析利弊
b1-484|investigar el caso=>调查案件;investigar sobre el tema=>就此课题研究
b1-485|comparar precios=>比价;comparar con otros=>与他人比较
b1-486|clasificar los documentos=>给文件分类
b1-487|ordenar la habitación=>整理房间;ordenar un café=>点杯咖啡|m:整理；点餐
b1-488|planear un viaje=>计划旅行;todo está planeado=>一切都计划好了
b1-489|anotar la dirección=>记下地址;anotar en la agenda=>记在日程本
b1-490|apuntar el número=>记下号码;apuntar al objetivo=>瞄准目标|m:记下；瞄准
b1-491|tomar nota de todo=>把一切都记下来
b1-492|repasar antes del examen=>考前复习;repasar la lección=>温习课文
b1-493|memorizar el vocabulario=>背单词
b1-494|perfeccionar la técnica=>完善技术
b1-495|ser capaz de hacerlo=>有能力做到;capaz de todo=>什么都干得出来
b1-496|ser incapaz de mentir=>不会说谎
b1-497|volverse independiente=>变得独立;trabajo independiente=>自由职业
b1-498|respuesta adecuada=>恰当的回答;medio adecuado=>合适的方式
b1-499|en el momento apropiado=>在恰当的时机
b1-500|información relevante=>相关信息;tema relevante=>重要议题
b1-501|aumento significativo=>显著增长;cambio significativo=>重大变化
b1-502|mejora notable=>明显改善;figura notable=>杰出人物
b1-503|pintor conocido=>知名画家;ser conocido por=>因……而闻名
b1-504|número desconocido=>陌生号码;territorio desconocido=>陌生领域
b1-505|horario habitual=>惯常时刻表;cliente habitual=>常客
b1-506|esfuerzo constante=>不懈的努力;lluvia constante=>连绵的雨
b1-507|trabajo temporal=>临时工作;alojamiento temporal=>临时住处
b1-508|amor eterno=>永恒的爱;descanso eterno=>长眠
b1-509|relación duradera=>持久的关系;daño duradero=>持久损伤
b1-510|porcelana frágil=>易碎的瓷器;paz frágil=>脆弱的和平
b1-511|base sólida=>坚实的基础;empresa sólida=>稳健的公司
b1-512|carácter firme=>坚定的性格;mantenerse firme=>坚定不移
b1-513|superficie áspera=>粗糙的表面;tela áspera=>扎手的布料
b1-514|superficie lisa=>光滑表面;pelo liso=>直发
b1-515|detalle diminuto=>极小的细节;piso diminuto=>巴掌大的公寓
