b2-1451|por triplicado=>一式三份;entregar la documentación por triplicado=>文件一式三份上交
b2-1452|de segunda mano=>二手的;un coche de segunda mano=>一辆二手车
b2-1453|a estrenar=>全新的;un piso a estrenar=>一套全新楼盘
b2-1454|hecho a mano=>手工制作;un suéter hecho a mano=>一件手织毛衣
b2-1455|fabricado en serie=>批量生产;producir en serie=>批量生产
b2-1456|a pedir de boca=>尽如人意;todo salió a pedir de boca=>一切如愿
b2-1457|de maravilla=>棒极了;nos lo pasamos de maravilla=>我们玩得特别好
b2-1458|que no veas=>…得不得了;hace un frío que no veas=>冷得你没法想
b2-1459|de lo lindo=>起劲地;comió de lo lindo=>他吃了个痛快
b2-1460|a más no poder=>到无以复加;trabajar a más no poder=>拼命干活
b2-1461|ni te cuento=>更别提了;si el sábado está lleno, el domingo ni te cuento=>周六都这么挤，周日更别提了
b2-1462|por si las moscas=>以防万一;llevé paraguas por si las moscas=>我带了伞以防万一
b2-1463|por lo que sea=>不管什么原因;llámame por lo que sea=>有任何事就打给我
b2-1464|sea lo que sea=>不管是什么;sea lo que sea, lo afrontaremos=>不管是什么，我们都面对
b2-1465|como sea=>无论如何地;tiene que salir como sea=>这事无论如何得成
b2-1466|de alguna manera=>以某种方式;lo resolveremos de alguna manera=>我们总有办法解决
b2-1467|de alguna u otra forma=>以这样那样的方式;acabarás entendiendo de alguna u otra forma=>你迟早会懂的
b2-1468|de este modo=>这样一来;de este modo se ahorra tiempo=>这样就能省时间
b2-1469|de esa guisa=>以那种方式（书面）
b2-1470|digamos que=>姑且说;digamos que es una especie de hobby=>姑且算个爱好吧
b2-1471|lo que es más=>更重要的是;ganó y, lo que es más, batió el récord=>他赢了，还破了纪录
b2-1472|encima=>况且;llegó tarde y encima sin disculparse=>他迟到还死不道歉
b2-1473|ni hablar de=>更不用说;no tiene tiempo para leer, ni hablar de escribir=>读书都没空，更别说写书
b2-1474|menos aún=>更遑论;no acepta críticas, menos aún consejos=>他听不进批评，更别说建议
b2-1475|todavía no=>还没有;¿has terminado? – Todavía no=>你完事了吗？还没有
b2-1476|aún=>仍然;aún vive mi abuela=>我奶奶还健在
b2-1477|de aquí a un mes=>从现在起一个月;de aquí a Navidad=>从现在到圣诞
b2-1478|a partir de=>从…起;a partir de mañana=>从明天起
b2-1479|hasta entonces=>直到那时;no lo sabremos hasta entonces=>到那时我们才知道
b2-1480|de ahora en adelante=>从今以后;de ahora en adelante, todo será distinto=>从今往后一切都会不同
b2-1481|para entonces=>到那时;para entonces ya nos habremos ido=>到那时我们已经走了
b2-1482|a estas alturas=>事到如今;a estas alturas de la vida=>活到这个岁数
b2-1483|en aquel entonces=>在当时;en aquel entonces no había internet=>那时还没有互联网
b2-1484|la moda de aquel entonces=>当年的时尚;los amigos de aquel entonces=>当年的朋友
b2-1485|en el ínterin=>在此期间（书面）;en el ínterin, sigamos trabajando=>这期间咱们接着干
b2-1486|al poco tiempo=>不久之后;al poco tiempo se conocieron=>没多久他们就认识了
b2-1487|a los pocos días=>几天后;a los pocos días volvió a llover=>几天后又下雨了
b2-1488|más adelante=>稍后，今后;lo veremos más adelante=>这个稍后再说
b2-1489|más atrás=>更靠后;el problema está más atrás=>问题出在更靠前头的地方
b2-1490|más arriba=>更上面;como dijimos más arriba=>如前文所述
b2-1491|abajo=>在下面;allá abajo en el valle=>山谷那头下面
b2-1492|arriba del todo=>最上面;la última fila de arriba del todo=>最顶上一行
b2-1493|a continuación=>接下来;y a continuación, el concierto=>接下来是音乐会
b2-1494|en adelante=>往后;de ahora en adelante=>从今以后
b2-1495|detrás de=>在…后面;detrás de la puerta=>在门后
b2-1496|delante de=>在…前面;delante de todos=>当着大家的面
b2-1497|en medio de=>在…中间;en medio de la noche=>夜半时分
b2-1498|enfrente de=>在…对面;vive enfrente de mi casa=>他住我家对面
b2-1499|al lado de=>在…旁边;siéntate al lado de mí=>坐我旁边
b2-1500|a la izquierda de=>在…左边;el banco está a la izquierda del ayuntamiento=>银行在市政厅左边
b2-1501|en el fondo del pasillo=>走廊尽头;la sala está en el fondo del pasillo=>会议室在走廊尽头
b2-1502|al final del todo=>最末尾;su nombre estaba al final del todo=>他的名字排在最末
b2-1503|la brecha digital=>数字鸿沟;la brecha entre ricos y pobres=>贫富差距
b2-1504|a criterio de=>在…看来;a criterio del comité=>据委员会判断;usar el propio criterio=>用自己的判断力
